AREA_TITLE,OCC_TITLE,O_GROUP,A_MEDIAN,A_PCT10,A_PCT25,A_PCT75,A_PCT90,A_MEAN
Florida,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detailed,57430,42600,48880,69850,75280,58730
Florida,"Production, Planning, and Expediting Clerks",detailed,51940,36810,44160,63110,79020,55540
Florida,"Shipping, Receiving, and Inventory Clerks",detailed,40700,30990,36200,48740,60580,44010
Florida,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detailed,44260,33770,36380,50000,58530,44120
Florida,Executive Secretaries and Executive Administrative Assistants,detailed,64710,42830,51590,81190,99220,69090
Florida,Legal Secretaries and Administrative Assistants,detailed,48510,34420,40960,64800,81340,55420
Florida,Medical Secretaries and Administrative Assistants,detailed,41730,35900,37570,47300,56030,43720
Florida,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,45900,33380,37840,53340,63340,48730
Florida,Data Entry Keyers,detailed,38880,31400,35650,45690,51250,41070
Florida,Word Processors and Typists,detailed,35770,27520,29070,45560,61520,40710
Florida,Desktop Publishers,detailed,52720,42220,43520,61660,73890,55420
Florida,Insurance Claims and Policy Processing Clerks,detailed,47130,37440,39700,58480,70370,50550
Florida,"Mail Clerks and Mail Machine Operators, Except Postal Service",detailed,39300,31420,35700,46320,62720,45180
Florida,"Office Clerks, General",detailed,44450,30880,36070,53950,65110,46530
Florida,"Office Machine Operators, Except Computer",detailed,38330,32760,35910,45140,50600,40820
Florida,Proofreaders and Copy Markers,detailed,35610,33620,35070,64100,119150,52090
Florida,Statistical Assistants,detailed,57200,36460,49100,80470,84440,61480
Florida,"Office and Administrative Support Workers, All Other",detailed,36620,31750,32170,49640,61270,43220
Florida,"Farming, Fishing, and Forestry Occupations",major,33760,27650,29510,39560,50570,37520
Florida,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed,58780,36660,43730,74190,90460,61450
Florida,Agricultural Inspectors,detailed,43990,35360,36090,50340,63270,46110
Florida,"Graders and Sorters, Agricultural Products",detailed,27470,27040,27040,29640,35360,29490
Florida,Agricultural Equipment Operators,detailed,36660,30060,34490,42120,50260,40900
Florida,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detailed,30640,27770,29280,35820,44660,33630
